"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"TimeString";"MsgText";"PLC";"Waterstand";"RH_cum";"Trein";"Trein_cum";"DD";"FH";"FX";"T";"SQ";"Q";"DR";"RH";"P";"U";"S";"O";"Y"
44298426991,2269;2;1;1;72;2021-04-12 10:14:52;"ModeSel Diag_GeenVrijgaveBedienmode afstand brugpost";"HMI_Connection_D_Lokaal";-30;0;4;0;280;1;4;4,7;0,7;167;0;-0,1;10273;81;1;0;0
44298426991,2269;2;1;1;48;2021-04-12 10:14:52;"Noodstop ingedrukt op afstand brugpost paneel (Dnst3)";"HMI_Connection_D_Lokaal";-30;0;4;0;280;1;4;4,7;0,7;167;0;-0,1;10273;81;1;0;0
44298427142,1644;2;0;1;72;2021-04-12 10:15:05;"ModeSel Diag_GeenVrijgaveBedienmode afstand brugpost";"HMI_Connection_D_Lokaal";-30;0;4;0;280;1;4;4,7;0,7;167;0;-0,1;10273;81;1;0;0
44298427142,1644;2;0;1;48;2021-04-12 10:15:05;"Noodstop ingedrukt op afstand brugpost paneel (Dnst3)";"HMI_Connection_D_Lokaal";-30;0;4;0;280;1;4;4,7;0,7;167;0;-0,1;10273;81;1;0;0
44298429028,5417;2;1;1;72;2021-04-12 10:17:48;"ModeSel Diag_GeenVrijgaveBedienmode afstand brugpost";"HMI_Connection_D_Lokaal";-30;0;4;0;280;1;4;4,7;0,7;167;0;-0,1;10273;81;1;0;0
44298429028,5417;2;1;1;48;2021-04-12 10:17:48;"Noodstop ingedrukt op afstand brugpost paneel (Dnst3)";"HMI_Connection_D_Lokaal";-30;0;4;0;280;1;4;4,7;0,7;167;0;-0,1;10273;81;1;0;0
44298429063,2639;2;0;1;72;2021-04-12 10:17:51;"ModeSel Diag_GeenVrijgaveBedienmode afstand brugpost";"HMI_Connection_D_Lokaal";-30;0;4;0;280;1;4;4,7;0,7;167;0;-0,1;10273;81;1;0;0
44298429063,2639;2;0;1;48;2021-04-12 10:17:51;"Noodstop ingedrukt op afstand brugpost paneel (Dnst3)";"HMI_Connection_D_Lokaal";-30;0;4;0;280;1;4;4,7;0,7;167;0;-0,1;10273;81;1;0;0
44298438319,2477;2;6;1;19;2021-04-12 10:31:11;"Communicatie afstand brugpost onderbroken";"HMI_Connection_D_Lokaal";-45;0;4;0;280;1;4;4,7;0,7;167;0;-0,1;10273;81;1;0;0
44298438319,2593;2;6;1;72;2021-04-12 10:31:11;"ModeSel Diag_GeenVrijgaveBedienmode afstand brugpost";"HMI_Connection_D_Lokaal";-45;0;4;0;280;1;4;4,7;0,7;167;0;-0,1;10273;81;1;0;0
