"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
44278688552,7662;2;1;1;170;;;;;;;;;"23.03.2021 16:31:31";"Onjuist scheepvaartseinbeeld tijdens indrukken drukknop sluiten";"HMI_Connection_HN_Lokaal"
44278688599,0741;2;0;1;170;;;;;;;;;"23.03.2021 16:31:35";"Onjuist scheepvaartseinbeeld tijdens indrukken drukknop sluiten";"HMI_Connection_HN_Lokaal"
44279352003,3218;2;1;1;206;;;;;;;;;"24.03.2021 08:26:53";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44279352026,5972;2;0;1;206;;;;;;;;;"24.03.2021 08:26:55";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44279492307,1065;2;6;1;170;;;;;;;;;"24.03.2021 11:48:55";"Onjuist scheepvaartseinbeeld tijdens indrukken drukknop sluiten";"HMI_Connection_HN_Lokaal"
44279492307,1065;2;6;1;206;;;;;;;;;"24.03.2021 11:48:55";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44279521033,2523;2;1;1;206;;;;;;;;;"24.03.2021 12:30:17";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44279521056,4005;2;0;1;206;;;;;;;;;"24.03.2021 12:30:19";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44280851630,0116;2;1;1;206;;;;;;;;;"25.03.2021 20:26:21";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44280851653,1481;2;0;1;206;;;;;;;;;"25.03.2021 20:26:23";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44281687549,1088;2;1;1;206;;;;;;;;;"26.03.2021 16:30:04";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44281687572,2801;2;0;1;206;;;;;;;;;"26.03.2021 16:30:06";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44282683150,3125;2;1;1;206;;;;;;;;;"27.03.2021 16:23:44";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44282683161,8866;2;0;1;206;;;;;;;;;"27.03.2021 16:23:45";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44284475765,6829;2;1;1;206;;;;;;;;;"29.03.2021 11:25:06";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44284475788,8426;2;0;1;206;;;;;;;;;"29.03.2021 11:25:08";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44285208863,2639;2;1;1;206;;;;;;;;;"30.03.2021 05:00:46";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44285208886,4236;2;0;1;206;;;;;;;;;"30.03.2021 05:00:48";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44285334191,4815;1;1;3;110001;;;;;;;;;"30.03.2021 08:01:14";"Ga naar bedrijfstoestand 'online'.";
44285334213,0671;1;1;3;140000;"HMI_Connection_HN_Lokaal";"192.168.132.1";"0";"1";;;;;"30.03.2021 08:01:16";"Verbinding opgebouwd: HMI_Connection_HN_Lokaal, station 192.168.132.1, rack 0, plaats 1.";
44285391626,4931;2;1;1;206;;;;;;;;;"30.03.2021 09:23:57";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44285391638,0671;2;0;1;206;;;;;;;;;"30.03.2021 09:23:58";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44285475000,1505;2;1;1;206;;;;;;;;;"30.03.2021 11:24:00";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44285475023,2986;2;0;1;206;;;;;;;;;"30.03.2021 11:24:02";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44286208283,831;2;1;1;206;;;;;;;;;"31.03.2021 04:59:56";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44286208306,9907;2;0;1;206;;;;;;;;;"31.03.2021 04:59:58";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44287476330,1968;2;1;1;170;;;;;;;;;"01.04.2021 11:25:55";"Onjuist scheepvaartseinbeeld tijdens indrukken drukknop sluiten";"HMI_Connection_HN_Lokaal"
44287476376,5046;2;0;1;170;;;;;;;;;"01.04.2021 11:25:59";"Onjuist scheepvaartseinbeeld tijdens indrukken drukknop sluiten";"HMI_Connection_HN_Lokaal"
44288558588,8889;2;1;1;206;;;;;;;;;"02.04.2021 13:24:22";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44288558612,037;2;0;1;206;;;;;;;;;"02.04.2021 13:24:24";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44288729178,206;2;1;1;206;;;;;;;;;"02.04.2021 17:30:01";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44288729201,3542;2;0;1;206;;;;;;;;;"02.04.2021 17:30:03";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44288733252,2106;2;1;1;206;;;;;;;;;"02.04.2021 17:35:53";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44288733275,3588;2;0;1;206;;;;;;;;;"02.04.2021 17:35:55";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44288807853,7847;2;1;1;206;;;;;;;;;"02.04.2021 19:23:19";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44288807876,9329;2;0;1;206;;;;;;;;;"02.04.2021 19:23:21";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44289558232,3727;2;1;1;206;;;;;;;;;"03.04.2021 13:23:51";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44289558255,8218;2;0;1;206;;;;;;;;;"03.04.2021 13:23:53";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44289644246,169;2;1;1;206;;;;;;;;;"03.04.2021 15:27:43";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
