"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"TimeString";"MsgText";"PLC";"Waterstand";"RH_cum";"Trein";"Trein_cum";"DD";"FH";"FX";"T";"SQ";"Q";"DR";"RH";"P";"U";"S";"O";"Y"
44278688552,7662;2;1;1;170;2021-03-23 16:31:31;"Onjuist scheepvaartseinbeeld tijdens indrukken drukknop sluiten";"HMI_Connection_HN_Lokaal";-17;0;8;0;270;4;7;9,5;0,5;68;0;0;10241;76;0;0;0
44278688599,0741;2;0;1;170;2021-03-23 16:31:35;"Onjuist scheepvaartseinbeeld tijdens indrukken drukknop sluiten";"HMI_Connection_HN_Lokaal";-17;0;8;0;270;4;7;9,5;0,5;68;0;0;10241;76;0;0;0
44279352003,3218;2;1;1;206;2021-03-24 08:26:53;"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal";-24;0;8;88;200;3;4;7,5;1;82;0;0;10222;82;0;0;0
44279352026,5972;2;0;1;206;2021-03-24 08:26:55;"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal";-24;0;8;0;200;3;4;7,5;1;82;0;0;10222;82;0;0;0
44279492307,1065;2;6;1;170;2021-03-24 11:48:55;"Onjuist scheepvaartseinbeeld tijdens indrukken drukknop sluiten";"HMI_Connection_HN_Lokaal";89;0;8;25;220;5;8;11,7;0,8;185;0;0;10218;67;0;0;0
44279492307,1065;2;6;1;206;2021-03-24 11:48:55;"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal";89;0;8;0;220;5;8;11,7;0,8;185;0;0;10218;67;0;0;0
44279521033,2523;2;1;1;206;2021-03-24 12:30:17;"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal";111;0;8;8;210;6;9;11,8;0,9;215;0;0;10216;66;0;0;0
44279521056,4005;2;0;1;206;2021-03-24 12:30:19;"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal";111;0;8;0;210;6;9;11,8;0,9;215;0;0;10216;66;0;0;0
44280851630,0116;2;1;1;206;2021-03-25 20:26:21;"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal";-25;1;8;229;220;3;7;6,9;0;0;0;0;10194;77;0;0;0
44280851653,1481;2;0;1;206;2021-03-25 20:26:23;"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal";-25;0;8;0;220;3;7;6,9;0;0;0;0;10194;77;0;0;0
